quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,PPP-weighted World real GDP,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial real estate price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,South Africa real GDP,period_kind
Q1 2006,416183.0,358099.0,78.7,5.2,168181.5,244966.0,78.6,,,,78.7,4.5,75.6,351.4,10.5,7.8,16.9,68.8,61.9,12.0,126.5,141.2,92.4,91.9,86.5,67.6,85.0,8.8,1.5,91.2,83.1,86.6,4.7,58.7,4.4,98.7,68.1,89.4,337.8,39.7,12.1,,72.2,5.1,29.9,31.3,46.8,60.2,78.7,history
Q2 2006,417146.0,362278.0,79.8,5.5,168410.6,248705.0,80.1,,,,79.3,4.5,75.5,296.4,10.7,6.8,15.9,69.7,69.8,14.5,126.2,147.3,93.4,92.6,87.8,68.0,86.1,8.5,1.8,92.6,84.9,86.8,4.6,58.6,4.9,99.0,71.2,90.9,312.0,40.5,11.0,,73.0,4.9,30.5,33.4,47.5,60.6,79.8,history
Q3 2006,417741.0,365835.0,80.3,5.5,168608.3,254207.0,81.4,,,,79.3,4.7,81.2,281.1,11.0,5.9,18.1,70.7,70.2,13.6,127.7,151.1,93.9,92.7,88.7,69.3,86.2,8.3,2.0,93.8,87.9,86.9,4.6,58.9,5.3,98.4,74.4,97.1,340.6,41.5,10.9,,74.3,4.8,30.3,34.4,49.0,61.9,80.9,history
Q4 2006,419236.0,369432.0,80.9,5.5,166784.2,257755.0,84.4,,,,84.0,4.9,80.1,235.5,11.4,5.7,18.2,71.8,59.7,11.0,128.9,154.4,95.0,93.4,89.9,68.8,86.4,8.0,2.5,95.0,89.0,87.6,4.4,63.5,5.3,98.8,74.0,93.5,313.2,43.1,14.3,,75.4,4.5,30.5,34.1,49.9,63.8,82.0,history
Q1 2007,423472.0,375722.0,81.0,5.5,173206.7,259904.0,86.8,,,,86.3,5.2,78.2,202.0,11.5,4.8,18.3,72.9,58.1,12.5,129.4,157.5,95.7,94.1,90.3,71.9,86.6,7.8,2.8,96.0,91.0,87.6,4.5,65.2,5.3,99.3,77.3,89.6,275.2,45.2,19.5,,76.4,4.4,31.6,35.5,51.3,65.4,83.4,history
Q2 2007,426600.0,379527.0,81.8,5.4,173085.5,265217.0,88.6,,,,90.1,5.4,79.0,207.9,11.2,4.5,17.7,73.9,68.7,13.7,127.8,160.1,96.3,94.7,90.9,70.9,87.8,7.5,3.0,96.9,92.8,88.3,4.5,68.5,5.3,97.8,80.5,94.1,263.2,46.5,15.3,,77.7,4.3,32.8,37.4,52.6,66.7,84.1,history
Q3 2007,429845.0,385302.0,81.7,5.3,176160.9,268733.0,89.7,,,,87.2,5.7,114.4,341.3,11.0,5.1,16.5,74.8,74.9,21.5,127.6,162.9,96.7,95.1,91.7,69.1,87.8,7.5,3.0,98.0,94.4,88.9,4.7,68.1,5.2,96.0,84.8,132.0,402.2,47.4,17.6,,79.2,4.1,34.0,40.1,53.5,68.7,85.0,history
Q4 2007,433079.0,390339.0,82.6,5.2,179952.4,269328.0,89.6,,,,87.8,5.7,150.6,493.2,9.9,5.0,16.6,75.4,88.8,22.1,122.5,164.7,97.2,95.4,92.0,72.0,88.9,7.3,3.0,98.5,95.5,89.2,4.8,68.4,4.5,94.4,85.6,172.2,502.6,49.0,16.2,,80.6,3.7,37.0,45.4,55.3,68.3,86.3,history
Q1 2008,433710.0,394836.0,82.9,5.2,181944.0,267426.0,88.2,,,,79.8,5.4,205.4,725.5,8.8,5.6,14.3,76.0,96.5,26.1,114.6,159.4,97.7,95.7,92.8,69.7,89.5,7.3,3.0,99.5,95.8,88.6,5.0,61.8,3.2,92.4,81.7,241.9,733.0,50.4,11.5,,81.7,3.3,40.9,49.4,55.6,70.9,86.6,history
Q2 2008,430887.0,393634.0,84.6,5.3,183078.6,270537.0,84.0,,,,81.1,5.0,216.7,739.3,7.2,5.7,13.2,76.7,122.1,20.7,109.5,158.8,97.4,95.2,92.5,68.3,91.0,7.4,3.0,99.6,94.7,89.0,5.3,62.7,2.1,89.7,76.2,253.1,689.6,51.6,18.0,,80.8,3.3,41.2,50.3,56.2,68.7,87.7,history
