quarter,UK real GDP,UK nominal GDP,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,Deposit volumes,"2yr fixed mortgage rate, 75% LTV",Instant access savings rate,PPP-weighted World real GDP,World trade,Volatility index,Euro area real GDP,ECB policy rate,Euro area residential property price index,US real GDP,US equity prices,US policy rate,US residential real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China residential property price index,Hong Kong real GDP,Hong Kong residential property price index,India real GDP,period_kind,UK nominal GDP index
Q4 2003,391048.0,318061.0,148208.3,227758.0,64.6,,57.1,3.6,75.5,474.0,15.1,13.5,7.0,795515.0,5.0,,61.4,56.5,17.4,88.0,1.0,78.0,80.5,48.3,1.0,74.7,102.9,459.8,31.3,,60.9,21.1,39.0,history,64.26956193336686
Q1 2004,393247.0,320320.0,149123.2,226851.0,67.8,,59.0,3.9,78.8,421.4,15.3,13.9,6.9,809967.0,4.9,,62.3,58.3,16.6,88.5,1.0,79.1,81.0,51.8,1.0,77.1,94.3,420.2,31.8,,62.6,24.1,39.1,history,64.72603078810691
Q2 2004,395113.0,325462.0,152010.5,230131.0,71.4,,59.3,4.2,83.6,398.2,15.4,13.8,5.4,825468.0,5.3,,63.2,60.1,16.2,89.0,1.0,80.6,81.6,51.4,1.0,79.8,95.5,409.7,32.1,,63.7,25.2,40.1,history,65.76505816795346
Q3 2004,395867.0,327320.0,150970.1,234393.0,73.6,,58.6,4.7,84.1,402.8,14.6,14.0,8.9,845361.0,5.4,,64.0,61.5,15.4,89.2,1.0,82.1,82.3,50.5,1.4,82.2,96.3,399.0,33.4,,64.5,25.4,41.0,history,66.14049824414072
Q4 2004,398259.0,331772.0,152552.6,235293.0,73.9,,62.4,4.8,77.1,339.9,13.1,14.1,7.9,866211.0,5.1,,64.7,62.6,13.6,89.6,1.0,83.6,83.0,53.2,1.9,84.8,87.8,330.1,34.1,,65.8,27.3,41.8,history,67.04009954617823
Q1 2005,400558.0,335287.0,155859.8,236434.0,74.5,,65.7,4.8,69.5,284.9,11.7,13.7,11.3,882881.0,5.1,,65.4,63.6,12.8,89.7,1.0,85.1,83.9,54.5,2.4,88.0,83.6,305.0,35.3,,66.5,29.4,42.6,history,67.75036427588662
Q2 2005,404875.0,343740.0,161295.6,240355.0,75.0,,65.9,4.8,82.8,378.4,10.8,12.6,16.0,903256.0,4.9,,66.2,64.7,13.4,90.3,1.0,86.6,84.3,54.1,2.9,91.1,100.1,396.4,35.6,,68.5,30.9,43.9,history,69.45843476243716
Q3 2005,409270.0,346479.0,161321.5,242493.0,75.7,,70.7,4.6,74.1,374.1,10.1,11.1,16.1,919651.0,4.6,,67.0,66.0,12.3,91.0,1.0,88.1,85.0,56.0,3.4,94.0,89.3,350.3,37.0,,69.8,30.6,44.5,history,70.01189567130524
Q4 2005,414816.0,353951.0,166747.6,246893.0,76.9,,72.7,4.5,75.2,376.5,10.2,9.6,17.8,936534.0,4.7,,67.9,67.5,12.7,91.5,1.3,89.7,85.5,56.3,4.0,96.6,94.2,362.1,38.3,,70.7,29.5,45.6,history,71.52173864723162
Q1 2006,416183.0,358099.0,168181.5,244966.0,78.6,,78.7,4.5,75.6,351.4,10.5,7.8,16.9,957197.0,4.7,,68.8,69.1,12.0,92.4,1.5,91.2,86.6,58.7,4.4,98.7,89.4,337.8,39.7,,72.2,29.9,46.8,history,72.35991164832136
Q2 2006,417146.0,362278.0,168410.6,248705.0,80.1,,79.3,4.5,75.5,296.4,10.7,6.8,15.9,976547.0,4.9,,69.7,70.6,14.5,93.4,1.8,92.6,86.8,58.6,4.9,99.0,90.9,312.0,40.5,,73.0,30.5,47.5,history,73.20434871957355
Q3 2006,417741.0,365835.0,168608.3,254207.0,81.4,,79.3,4.7,81.2,281.1,11.0,5.9,18.1,996956.0,5.1,,70.7,72.1,13.6,93.9,2.0,93.8,86.9,58.9,5.3,98.4,97.1,340.6,41.5,,74.3,30.3,49.0,history,73.92310025401815
Q4 2006,419236.0,369432.0,166784.2,257755.0,84.4,,84.0,4.9,80.1,235.5,11.4,5.7,18.2,1015758.0,5.1,,71.8,73.6,11.0,95.0,2.5,95.0,87.6,63.5,5.3,98.8,93.5,313.2,43.1,,75.4,30.5,49.9,history,74.6499344596401
Q1 2007,423472.0,375722.0,173206.7,259904.0,86.8,,86.3,5.2,78.2,202.0,11.5,4.8,18.3,1035801.0,5.4,,72.9,75.1,12.5,95.7,2.8,96.0,87.6,65.2,5.3,99.3,89.6,275.2,45.2,,76.4,31.6,51.3,history,75.92093450227618
Q2 2007,426600.0,379527.0,173085.5,265217.0,88.6,,90.1,5.4,79.0,207.9,11.2,4.5,17.7,1059155.0,5.8,,73.9,76.6,13.7,96.3,3.0,96.9,88.3,68.5,5.3,97.8,94.1,263.2,46.5,,77.7,32.8,52.6,history,76.68979859802026
