quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate household deposit growth,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q3 2009,452595,389776,86.9,7.8,180144,282945,69.7,,,,59.7,0.5,287.0,1133.0,0.6,-0.7,-3.2,2.6,69.8,68,68.3,25.5,98.7,127.5,87,87.1,82.5,53.5,87,9.9,0.25,93.6,79.3,78.9,9.6,32.2,0.15,69.7,53.7,253.0,903.0,47.4,8.4,,77.2,5.4,33.4,37,50.7,63.7,3.3,75,history,72.61806285258632
Q4 2009,454145,388677,87.6,7.8,175100,286090,72,,,,66.2,0.5,229.0,767.0,0.7,-1.2,-2.5,2.6,70.8,70.1,74.9,23.0,95.1,126.9,87.4,87.7,83.1,52.8,87.4,10.1,0.25,94,78.9,79.8,9.9,35.3,0.12,69.6,52.5,204.0,719.0,48.7,7.3,,78.7,5.1,34.9,39.2,51.7,64.7,2.3,76.2,history,72.41331127456459
Q1 2010,457058,394878,88.2,8,179673,288060,73.3,,,,68.6,0.5,189.0,627.0,0.8,-1.8,-4.3,3.4,71.7,72.4,76.8,20.2,96.9,121.1,87.8,88.1,83.8,54.1,87.4,10.2,0.25,93.4,78,80.1,9.8,36.4,0.13,68.8,51,170.0,621.0,49.9,9.8,,80.2,4.7,37,41.3,53.1,68.4,2.2,77.2,history,73.56860202553153
Q2 2010,461765,401588,89.3,7.9,185912,292746,73.6,,,,68.3,0.5,199.0,570.0,0.8,-2.3,-4.0,3.1,72.8,75.8,78.7,26.3,100.9,115.9,88.6,88.5,85.7,54.1,88.6,10.3,0.25,93.5,79.4,80.8,9.6,36.8,0.19,68.7,55.5,176.0,624.0,51,10.6,,81.6,4.6,38.4,43.1,54.4,72.6,2.2,78.3,history,74.81872312519097
Q3 2010,465134,403451,89.6,7.8,186708,292565,73.7,,,,67.8,0.5,212.0,570.0,0.8,-1.9,-3.4,2.7,73.7,77.4,76.4,24.3,103.2,120.5,89,89,86.4,54.7,88.5,10.2,0.25,93.5,79.5,81.4,9.5,35.5,0.19,67.7,55.7,184.0,653.0,52.3,11.2,,82.3,4.3,40.5,44.7,56,70.5,2.1,79.2,history,75.1658133798356
Q4 2010,465290,406110,90.5,7.9,188608,293087,73.1,,,,73.7,0.5,210.0,567.0,0.5,-1.3,-3.4,2.4,74.5,78.8,86.9,19.3,100.2,122.8,89.6,89.7,87.1,54.5,89.2,10.1,0.25,93.4,80.2,81.8,9.5,39.1,0.19,66.9,55.9,170.0,570.0,53.5,13.7,,83.6,4,42.6,49.1,57.3,73.4,2.2,80.1,history,75.66120414049051
Q1 2011,466970,414242,91.8,7.8,192215,290642,72.7,,,,76.2,0.5,201.0,546.0,0.5,-1.4,-2.4,1.9,75.2,80.4,105.2,18.5,100.7,124.5,90.3,90.6,88.8,54.4,89.6,10,0.25,93.2,79.6,81.6,9,42.2,0.16,66.1,57.2,150.0,479.0,54.9,12.3,51.6,85.9,3.6,46,53.5,58.3,74.8,1.9,80.7,history,77.1762540335502
Q2 2011,467370,411759,93.3,7.9,191862,294484,72.3,,,,76.0,0.5,196.0,558.0,0.5,-0.7,-1.5,1.8,75.8,81.2,117,17.4,97.5,126.7,90.3,90.6,88.9,55,91,10,0.47,92.9,81.5,82.2,9.1,42.7,0.09,65.8,57.6,149.0,493.0,56.2,14.2,52.1,85.6,3.6,48.8,58.2,59,74.7,2,81.2,history,76.7136533345257
Q3 2011,468942,414864,93.8,8.3,195869,296491,72.3,,,,70.0,0.5,260.0,745.0,0.5,-0.3,-2.0,2.3,76.5,82,112.9,30.4,98.1,125,90.4,90.9,89.7,54.4,90.8,10.3,0.72,92.3,81.5,82.2,9,39.7,0.08,65.5,56.1,198.0,662.0,57.2,14.9,52.2,85.7,3.4,48.6,59.8,59,76.5,2.1,82.2,history,77.29213709226677
Q4 2011,469556,419276,94.7,8.4,197775,299136,72.2,,,,69.0,0.5,323.0,889.0,0.6,-0.9,-2.9,2.7,77.1,82.6,109.3,29.9,100.4,122.1,90.1,91.1,89.4,54.2,91.8,10.6,0.55,91.3,81.4,83.1,8.6,39.7,0.08,64.5,58.6,246.0,753.0,58.1,15.4,51.9,86.2,3.3,47.8,58.8,60,77,2.1,82.7,history,78.11412431904729
