quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate household deposit growth,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q3 2005,452721,349720,78.4,4.7,163486,246471,67.8,,,,65.7,4.59,74.0,374.0,10.1,11.1,16.2,8.1,61.4,62.6,61.7,12.3,125.9,138.7,85.6,85.3,81.3,53.2,80.8,9,1,92.1,73.8,77.8,5,39.7,3.46,82.1,63.3,89.0,350.0,30.6,12,,68.5,5.6,24.6,26.6,37.3,51.8,3.3,66.7,history,65.15534291697406
Q4 2005,458925,358409,78.8,5.1,170080,250339,68.7,,,,67.6,4.5,75.0,377.0,10.1,9.6,17.8,7.9,62.2,64.2,56.9,12.7,126.5,135.8,86.1,86,81.7,54.5,81.3,8.9,1.07,93,75.6,78.3,5,39.9,3.98,84.4,65.9,94.0,362.0,31.6,10.3,,69.3,5.3,23.7,26.2,38.2,53.5,2.7,67.6,history,66.77416590280728
Q1 2006,461059,361619,78.7,5.2,169307,250052,70.3,,,,73.1,4.5,76.0,351.0,10.5,7.8,17.0,8.1,63.1,66.1,61.9,12.0,125.3,136.1,86.9,86.7,82.4,55.6,81.3,8.8,1.32,94.3,76.9,79.3,4.7,41.6,4.46,86.2,67.8,89.0,338.0,32.5,12.1,,70.9,5.1,24,25.3,39.2,54.4,2.4,68.5,history,67.37221191322558
Q2 2006,462305,366410,79.8,5.5,172558,252499,71.7,,,,73.6,4.5,76.0,296.0,10.7,6.7,16.0,7.6,63.9,67.6,69.8,14.5,125.1,142,87.8,87.5,83.9,55.6,82.4,8.5,1.55,95.2,78.6,79.5,4.6,41.5,4.91,86.5,70.5,91.0,312.0,33.6,11,,71.6,4.9,24.5,27,39.8,55,2.7,69.4,history,68.26480955681251
Q3 2006,462734,369568,80.3,5.5,172176,257549,73.1,,,,73.7,4.66,81.0,281.0,11.0,5.9,18.1,8.2,64.6,68.5,70.2,13.6,126.6,145.7,88.3,87.5,84.5,56.3,82.5,8.3,1.9,96,81.1,79.6,4.6,41.8,5.25,86,73.2,97.0,341.0,34.6,10.9,,72.9,4.8,24.3,27.8,41.1,56,2.8,70.2,history,68.85316759447636
Q4 2006,464891,373122,80.9,5.5,169640,262744,75.4,,,,78.0,4.89,80.0,235.0,11.4,5.7,18.2,8.1,65.6,69.8,59.7,11.0,127.8,148.9,89.4,88.2,85.8,56.4,82.7,8,2.27,97.6,82.3,80.3,4.4,45.0,5.25,86.3,73.8,93.0,313.0,35.7,14.3,,74,4.5,24.5,27.6,41.8,58.2,2.8,71.2,history,69.51530327080864
Q1 2007,469274,378624,81,5.5,174777,264990,77.7,,,,80.2,5.22,78.0,202.0,11.5,4.8,18.3,8.1,66.5,71.6,58.1,12.5,128.3,151.9,89.9,88.9,85.9,59.9,82.9,7.8,2.55,97.2,84.1,80.5,4.5,46.2,5.26,86.7,76.5,90.0,275.0,37.1,19.5,,75,4.4,25.4,28.7,42.9,59.1,2.7,72.2,history,70.54036531109571
Q2 2007,471920,383376,81.8,5.4,175941,270762,79.4,,,,83.7,5.4,79.0,208.0,11.2,4.5,17.7,8.3,67.4,72.7,68.7,13.7,126.7,154.3,90.6,89.6,86.6,58.7,84,7.5,2.8,97.9,85.7,80.9,4.5,48.5,5.25,85.4,79.5,94.0,263.0,38.4,15.3,,76.2,4.3,26.3,30.2,44,60.5,2.3,73.1,history,71.42569697511682
Q3 2007,475530,389461,81.7,5.3,177976,276268,80.7,,,,81.0,5.74,114.0,341.0,11.0,5.0,16.5,8.1,68.2,74.2,74.9,21.5,126.5,157,91,89.9,87,57.4,84.1,7.5,3,98.3,87.2,81.4,4.7,48.3,5.09,83.8,82.2,132.0,402.0,39.5,17.6,,77.7,4.1,27.3,32.4,44.8,62,1.7,73.9,history,72.55937609455462
Q4 2007,477958,394624,82.6,5.2,182722,275896,81.6,,,,81.5,5.69,151.0,493.0,9.9,5.0,16.6,8.8,69.1,75.4,88.8,22.1,121.4,158.8,91.5,90.1,87.6,60.3,85.1,7.3,3,98.1,88.6,81.9,4.8,48.4,4.49,82.5,82.1,172.0,503.0,40.7,16.2,,79.1,3.7,29.7,36.6,46.3,62.3,1.7,74.9,history,73.52128000476947
Q1 2008,480523,400688,82.9,5.2,184492,277507,80.6,,,,74.1,5.35,205.0,726.0,8.8,5.7,14.2,8.6,69.7,76.6,96.5,26.1,113.6,153.7,91.9,90.5,88.1,57.9,85.6,7.3,3,98,88.5,81.4,5,43.8,3.18,80.7,77.9,242.0,733.0,41.6,11.5,,80.2,3.3,32.8,39.9,46.6,64,1.9,75.7,history,74.65104667367181
Q2 2008,477834,398915,84.6,5.3,187761,279594,78.9,,,,75.3,5.03,217.0,739.0,7.2,5.8,13.2,8.4,70.1,76.7,122.1,20.7,108.5,153.1,91.6,90.1,87.9,56.6,87.1,7.4,3,97.1,87.5,81.8,5.3,44.4,2.09,78.4,74.3,253.0,690.0,42.4,18,,79.2,3.3,33.1,40.7,47.1,62.3,2.2,76.3,history,74.32072406417909
Q3 2008,470368,397188,85.7,5.9,187019,277015,74.8,,,,67.3,5,243.0,873.0,4.9,4.7,8.9,7.1,70.1,76.7,115.9,25.0,108.3,147.1,91.1,89.8,87.4,56.8,87.3,7.6,3.23,95.9,86.6,81.4,6,40.6,1.96,76.1,76.4,314.0,832.0,43,15.4,,78.4,3.3,32.3,39.5,47.5,61.9,2.3,76.3,history,73.99897158443068
Q4 2008,460676,392468,85.8,6.4,183190,280599,70.7,,,,52.7,3.37,409.0,1928.0,3.1,3.7,3.8,5.3,69.3,72,55.9,58.3,102.5,122.1,89.5,88.5,86,54.1,87.1,8,2.79,95.2,84.6,79.6,6.9,29.5,0.53,73.4,72.8,574.0,1760.0,43.8,13.8,,76.8,3.9,28.4,33.8,47.6,60.5,2.7,75.2,history,73.11960174979693
Q1 2009,452896,384441,85.4,7.1,176193,276545,68.1,,,,50.2,1.07,491.0,2323.0,1.6,2.4,2.8,3.9,68.3,65.6,45,44.9,94.6,111.4,86.7,87.1,82,54.1,86.5,9,1.1,94.7,82.1,78.7,8.3,26.3,0.19,70.6,70.3,530.0,1695.0,44.7,10.2,,74.2,5,28.4,29.9,46.7,58.9,3.2,73.9,history,71.62411410941448
Q2 2009,452036,385619,86.4,7.8,175757,281208,68,,,,53.7,0.5,443.0,1907.0,0.8,1.1,-1.2,2.6,68.9,65.5,59.2,33.1,97.9,120.4,86.7,87,82.1,53.8,87.2,9.6,0.27,93.9,80.2,78.6,9.3,28.9,0.18,69.5,60,414.0,1279.0,46,9.3,,76.8,5.3,30.7,32.9,49.4,61.4,3.2,74.2,history,71.8435839537362
