quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK corporate profits – Energy extraction sector,UK corporate profits – Non-energy extraction sectors,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate retail deposits,PPP-weighted world real GDP,MER-weighted world import volumes,Oil price,UK natural gas price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q3 2013,546064,448800,73,7.6,214888,5887,209001,318553,59.7,,77.2,0.5,169.0,487.0,0.9,4.5,-2.0,4.4,71.3,73.3,108.1,65.2,14.4,98.9,129.3,85.3,88.5,90.2,78.4,12.1,0,66.5,92.7,75.9,7.2,28.3,0.25,48.3,68.5,154.0,468.0,53.3,74.7,87.3,3.3,84.6,120.3,52.6,69.3,1.8,77.7,history,61.9270232529901
Q4 2013,549709,452183,73.4,7.2,215494,5673,209821,322385,60.7,,78.5,0.5,148.0,422.0,1.1,4.9,-0.3,4.0,71.9,73.7,106.4,67.6,14.2,99.2,131.9,85.5,89.1,90.3,78.6,12.1,0,66.5,92.6,76.6,6.9,30.0,0.25,49.3,68.3,142.0,430.0,54.1,75.8,88.1,3.3,84.4,120,53.8,70,1.9,78.2,history,62.3938216479653
Q1 2014,554183,457683,73.5,6.7,218664,5173,213491,322739,62.2,,79.9,0.5,139.0,358.0,1.4,5.5,-1.4,4.0,72.4,74.6,105.8,60.3,14.8,100,133.1,85.9,89,91.2,78.3,12,0,66.6,92.6,76.3,6.7,31.1,0.25,50,67.2,124.0,394.0,55,76.5,88.9,3.2,84.1,120.9,54.4,70.5,2.1,78.8,history,63.1527312466539
Q2 2014,559331,461549,74,6.3,223564,4494,219070,325056,63.8,,80.5,0.5,133.0,327.0,1.7,5.7,0.3,3.7,73.1,75.1,107,44.8,12.7,103.2,136.5,86.1,89.1,91.3,78.9,11.7,-0.02,66.8,93.9,77.3,6.2,32.1,0.25,50.4,70.4,112.0,365.0,56.1,76,88.8,3.2,85.3,121.9,55.7,71.2,1.9,79.1,history,63.68617570275029
Q3 2014,563694,470624,74,6,233700,3679,230021,323373,65,,80.2,0.5,135.0,375.0,1.8,6.1,0.0,3.7,73.8,75.8,98.8,42.2,13.0,106.1,129.4,86.5,89.7,91.7,78.6,11.6,-0.12,66.9,94.7,78.2,6.1,33.4,0.25,50.9,71.9,112.0,389.0,57.1,73.8,90.1,3.3,90,123.2,56.7,71.9,1.9,79.6,history,64.93837654058649
Q4 2014,567619,472658,74.1,5.7,233146,3356,229790,324788,65.9,,77.8,0.5,146.0,442.0,1.9,6.6,-1.5,4.1,74.4,76.6,75.5,52.9,16.0,106.1,124.6,86.8,89.5,92.4,78.7,11.6,-0.2,66.9,94.5,78.6,5.7,34.0,0.25,51.5,74.4,133.0,469.0,58.1,72.6,90.5,3.3,94.5,124.2,57.5,73,1.9,80.1,history,65.21903510853787
Q1 2015,569150,474680,73.6,5.5,231655,2509,229146,329834,66.4,,81.4,0.5,136.0,413.0,1.9,7.1,0.0,3.4,75,76.5,54.2,47.9,16.6,114.2,118.5,87.5,90,92.2,78,11.3,-0.2,67.1,94.8,79.3,5.5,34.9,0.25,52.1,77.4,143.0,490.0,59,72,91,3.3,99.6,125.7,58.5,72.7,1.8,80.6,history,65.49803787372848
Q2 2015,572673,476591,74,5.6,231095,3449,227646,340334,67.2,,83.6,0.5,135.0,376.0,1.9,7.7,-0.6,3.4,75.6,77.3,61.2,44.7,13.7,116.7,125.5,87.9,90.1,92.8,79.3,11.1,-0.2,67.7,96.1,79.8,5.4,35.6,0.25,52.6,79.1,136.0,460.0,60.2,72.4,91.6,3.3,103,129,59.8,73.6,2,80.9,history,65.76172446338192
Q3 2015,574836,479924,74,5.3,230934,2197,228737,344581,68.5,,78.0,0.5,160.0,415.0,2.3,8.1,0.3,3.4,76.2,77.4,50.8,41.5,19.4,112.1,120.9,88.2,90.3,93.2,78.9,10.8,-0.2,68.1,95.2,80.1,5.1,34.3,0.25,53.2,78.9,161.0,554.0,61.2,73,92.1,3.3,105.1,133.2,60.9,74.5,1.9,81.4,history,66.22162368018721
Q4 2015,578068,485256,74.2,5.1,235268,2098,233170,347354,70.2,,76.7,0.5,173.0,445.0,2.8,8.7,1.0,3.8,76.7,78.4,44.1,36.7,17.0,112.4,118.3,88.6,90.5,93.6,78.9,10.6,-0.23,68.6,97.1,80.3,5,34.7,0.3,54.1,78.3,168.0,642.0,62.2,73.5,92.2,3.3,101.1,132.4,62.1,74.4,1.9,81.7,history,66.95735204022498
Q1 2016,580110,489683,73.8,5.1,237407,2443,234964,344349,71.7,,73.4,0.5,199.0,532.0,3.5,9.8,2.2,5.3,77.4,77.7,35.2,30.4,20.5,104.3,114.8,89.1,90.9,94.6,78.1,10.4,-0.32,69.4,98.5,80.8,4.9,33.0,0.5,54.7,76.7,194.0,758.0,63.2,75,91.9,3.4,94.6,126.8,63.9,75.2,1.9,82.2,history,67.5682052753876
Q2 2016,583383,493710,74.3,4.9,236896,2054,234842,344965,72.5,,75.8,0.5,177.0,510.0,3.4,10.2,3.7,6.2,78,78.3,46.2,31.5,15.6,99.9,107.2,89.3,90.6,94.9,79.2,10.2,-0.4,70.2,100.5,81,4.9,35.1,0.5,55.2,79.8,158.0,633.0,64.3,77.1,93.3,3.4,94.8,121.2,65,76.1,2.1,82.7,history,68.12386508519104
