quarter,Real GDP,Quarterly real GDP growth,UK nominal GDP,Quarterly nominal GDP growth,Consumer Price Index,Annual CPI inflation,UK unemployment rate,Bank Rate,5-year nominal Gilt yields,10-year nominal Gilt yields,Sterling effective exchange rate ,UK residential property price index,UK commercial real estate price index - aggregate,Equity prices,Sterling HY corporate bond spreads,Sterling IG corporate bond spreads,Nominal wages,Real wages,period_kind,UK nominal GDP index
Q2 2009,364573.0,-0.4,350362.0,-0.2,110.6,2.1,7.8,0.5,2.7,3.7,81.3,88.7,,61.6,2347.0,528.0,444.0,107.0,history,85.19254289875722
Q3 2009,364557.0,0.0,355960.0,1.6,111.3,1.5,7.9,0.5,2.9,3.8,82.9,91.7,,68.5,1484.0,343.0,444.0,106.4,history,86.55372891535504
Q4 2009,366107.0,0.4,359814.0,1.1,112.1,2.1,7.8,0.5,2.7,3.8,80.4,94.3,,76.0,1055.0,266.0,447.0,106.3,history,87.49085126404529
Q1 2010,368033.0,0.5,366807.0,1.9,112.9,3.2,8.0,0.5,2.9,4.2,79.6,95.3,,78.8,886.0,217.0,450.0,106.2,history,89.19123958381458
Q2 2010,371779.0,1.0,369113.0,0.6,114.4,3.4,7.9,0.5,2.6,3.9,80.0,95.9,,78.4,794.0,222.0,449.0,104.6,history,89.75195679608228
Q3 2010,373275.0,0.4,374379.0,1.4,114.7,3.1,7.8,0.5,2.0,3.4,81.8,95.2,,77.8,734.0,235.0,453.0,105.3,history,91.03241509608301
Q4 2010,372529.0,-0.2,375316.0,0.3,115.9,3.4,7.8,0.5,2.1,3.4,80.3,93.9,,84.6,680.0,229.0,456.0,104.9,history,91.26025205527417
Q1 2011,374264.0,0.5,380237.0,1.3,117.6,4.2,7.8,0.5,2.6,3.9,80.9,93.7,,87.4,650.0,219.0,462.0,104.7,history,92.45682161363034
Q2 2011,374628.0,0.1,381379.0,0.3,119.4,4.4,7.9,0.5,2.3,3.7,79.5,93.8,,87.3,637.0,211.0,461.0,102.9,history,92.73450550626248
Q3 2011,376862.0,0.6,388054.0,1.8,120.1,4.7,8.2,0.5,1.6,2.9,79.3,94.0,,80.4,839.0,280.0,463.0,102.7,history,94.35757029025504
Q4 2011,376462.0,-0.1,387267.0,-0.2,121.3,4.7,8.4,0.5,1.3,2.4,80.3,93.8,,79.3,1008.0,352.0,465.0,102.2,history,94.1662066969963
Q1 2012,376437.0,0.0,389136.0,0.5,121.7,3.5,8.2,0.5,1.1,2.3,81.2,93.5,,85.2,906.0,322.0,466.0,102.1,history,94.62066483651421
Q2 2012,374983.0,-0.4,385466.0,-0.9,122.7,2.8,8.1,0.5,0.9,2.0,83.2,93.1,,81.7,916.0,320.0,468.0,101.7,history,93.72828315003441
Q3 2012,377887.0,0.8,388398.0,0.8,123.0,2.4,7.8,0.5,0.7,1.7,84.1,92.8,,84.7,906.0,277.0,471.0,102.0,history,94.44121587612673
Q4 2012,377081.0,-0.2,395415.0,1.8,124.5,2.6,7.8,0.5,0.8,1.8,83.6,93.3,,86.6,716.0,220.0,471.0,100.8,history,96.1474399344452
Q1 2013,378439.0,0.4,398545.0,0.8,125.1,2.8,7.8,0.5,1.0,2.1,80.4,94.1,,93.8,586.0,196.0,469.0,99.9,history,96.90851750356832
Q2 2013,381318.0,0.8,398898.0,0.1,126.0,2.7,7.8,0.5,1.0,2.1,80.6,95.4,,96.3,560.0,178.0,478.0,101.1,history,96.99435149139593
Q3 2013,384533.0,0.8,404689.0,1.5,126.4,2.7,7.6,0.5,1.5,2.8,81.3,97.5,,98.3,548.0,172.0,475.0,100.2,history,98.40246657216012
Q4 2013,387138.0,0.7,411259.0,1.6,127.1,2.1,7.2,0.5,1.7,2.9,83.6,100.0,100.0,100.0,454.0,146.0,477.0,100.0,year_zero,100.0
Q1 2014,388828.0,0.4,414830.0,0.9,127.4,1.8,6.6,0.5,1.8,2.9,85.5,98.8,98.5,97.2,553.0,163.0,476.0,99.7,projection,100.86830926496442
Q2 2014,384495.0,-1.1,414895.0,0.0,130.2,3.4,7.5,0.7,3.4,4.4,72.8,97.6,95.3,86.0,1020.0,244.0,482.0,98.8,projection,100.8841143902018
Q3 2014,380123.0,-1.1,413807.0,-0.3,131.8,4.3,8.6,1.3,4.2,5.0,66.6,92.9,90.2,78.1,1444.0,317.0,488.0,98.7,projection,100.61956090930533
Q4 2014,377596.0,-0.7,414566.0,0.2,134.2,5.5,9.3,1.9,4.7,5.5,59.0,87.6,85.5,73.2,1520.0,330.0,492.0,97.8,projection,100.80411614092336
Q1 2015,376309.0,-0.3,417499.0,0.7,135.8,6.6,9.8,2.7,5.1,5.7,59.4,81.6,81.7,72.2,1420.0,315.0,495.0,97.0,projection,101.51729202278857
Q2 2015,374912.0,-0.4,421085.0,0.9,138.5,6.4,10.4,3.4,5.2,5.8,59.8,72.8,77.7,73.0,1220.0,285.0,499.0,96.1,projection,102.38924862434622
Q3 2015,374231.0,-0.2,425420.0,1.0,140.3,6.4,10.7,3.8,5.3,5.8,60.1,68.4,74.6,74.4,1020.0,255.0,506.0,96.2,projection,103.44332889979306
Q4 2015,373607.0,-0.2,429529.0,1.0,142.6,6.3,11.1,4.0,5.3,5.7,60.4,66.2,72.4,76.4,820.0,225.0,510.0,95.3,projection,104.44245597056843
Q1 2016,374038.0,0.1,434980.0,1.3,144.3,6.2,11.3,4.1,5.2,5.6,60.5,65.4,71.2,79.5,720.0,210.0,514.0,94.9,projection,105.76789808855247
Q2 2016,375256.0,0.3,441829.0,1.6,146.9,6.0,11.4,4.1,5.2,5.5,60.7,65.8,70.7,82.7,619.0,194.0,521.0,94.5,projection,107.43327197702664
Q3 2016,376778.0,0.4,448737.0,1.6,148.6,5.9,11.6,4.2,5.1,5.4,60.8,66.3,70.4,85.6,604.0,192.0,529.0,94.9,projection,109.1129920561009
Q4 2016,378351.0,0.4,455795.0,1.6,151.2,6.0,11.8,4.2,5.0,5.3,60.8,66.4,70.0,88.1,589.0,190.0,535.0,94.4,projection,110.82918550110759
