quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate Retail Deposit volume,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,UK natural gas price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q2 2015,520984,484417,100.1,5.6,237608,341056,68.8,,,,91.3,0.5,135.0,376.0,1.9,7.7,-0.6,3.4,83.3,83.8,62.1,44.7,13.7,117.5,122,90.7,92.2,93,58.4,86.7,11.1,-0.2,70,80.3,88.3,5.4,51.2,0.13,56.3,67.4,136.0,460.0,69.2,7.9,57.2,93.9,3.3,78,89.7,70.1,82.6,2,88.4,history,76.88768189552276
Q3 2015,523783,485426,100.1,5.3,235328,348136,70.2,,,,85.2,0.5,160.0,415.0,2.3,8.1,0.3,3.4,83.9,84,50.2,41.5,19.4,118.1,123.3,91.1,92.4,93.4,60.4,86.3,10.7,-0.2,70.5,79.6,88.6,5.1,49.4,0.14,57,68.1,161.0,554.0,70.4,8.9,61.9,94.4,3.3,79.5,92.6,71.4,83.6,1.9,88.8,history,77.04783249104807
Q4 2015,527344,487464,100.3,5.1,235679,349676,71.9,,,,83.7,0.5,173.0,445.0,2.8,8.7,0.9,3.8,84.5,84.4,43.3,36.7,17.0,117.5,120.8,91.5,92.6,93.8,61,86.3,10.6,-0.23,71,81.2,88.7,5,50.0,0.16,57.9,68.2,168.0,642.0,71.5,7.5,65,94.5,3.3,76.5,92.1,72.9,83.6,1.9,89.2,history,77.37130812403178
Q1 2016,529673,494378,99.8,5.1,241067,350415,73.4,,,,80.1,0.5,199.0,532.0,3.5,9.8,2.2,5.3,85.2,84.4,34.5,30.4,20.5,110.1,114,92,93.2,94.6,58.9,85.4,10.4,-0.32,71.9,82.3,89.2,4.9,47.5,0.36,58.6,66.7,194.0,758.0,72.5,8,69.5,94.2,3.4,71.6,88.2,75,84.3,1.9,89.7,history,78.4687127003073
Q2 2016,532731,502284,100.4,4.9,244224,350182,74.3,,,,82.7,0.5,177.0,510.0,3.4,10.2,3.7,6.2,85.8,84.8,46,31.5,15.6,107.8,114.3,92.2,92.9,95,59.7,86.6,10.2,-0.4,72.6,84,89.5,4.9,50.6,0.37,59.2,67.3,158.0,633.0,73.9,8.1,75.3,95.6,3.4,71.7,84.3,76.3,85.2,2.1,90.1,history,79.72356959646494
Q3 2016,535103,506555,100.9,4.8,246698,351010,74.9,,,,89.4,0.34,154.0,511.0,3.2,10.4,3.7,6.8,86.6,85.7,45.8,31.1,13.2,99.7,104.6,92.7,93.2,95.3,60,86.5,9.9,-0.4,73.5,85.6,90.1,4.9,52.7,0.4,60,70.9,146.0,536.0,75.1,7.3,80.8,96.7,3.4,75.2,84.2,78.1,86.1,2.1,90.7,history,80.40147167128019
Q4 2016,539059,513421,101.5,4.7,252694,346382,75.7,,,,91.5,0.25,151.0,469.0,3.1,10.7,3.2,5.8,87.3,87.2,50.1,45.8,14.0,97.7,98.8,93.4,93.7,95.6,66.5,86.9,9.8,-0.4,74.2,85.3,90.5,4.8,53.3,0.45,60.9,71.5,135.0,463.0,76.3,7.8,83.9,97.7,3.3,79.8,87.5,79.1,87.6,2.2,91.3,history,81.49125758691622
Q1 2017,542562,518393,102,4.6,252930,347895,76.6,,,,96.0,0.25,145.0,427.0,2.9,10.2,3.1,4.9,88.1,88.4,54,48.2,11.7,98.6,98.7,94,94.4,96.7,63.7,86.9,9.5,-0.4,74.9,85.5,90.9,4.6,56.6,0.7,61.8,70.1,125.0,393.0,77.7,7.9,84.2,98.3,3.3,82.1,93.6,79.8,88.2,2.3,92.1,history,82.2804238514869
Q2 2017,544248,521074,103.2,4.4,251420,356340,77.6,,,,98.3,0.25,138.0,397.0,3.2,10.2,3.0,3.7,89,90.4,50.1,40.1,11.5,98.6,101.9,94.8,95.2,97.6,64.8,87.9,9.2,-0.4,75.7,87,91.4,4.4,58.4,0.95,62.5,72.2,120.0,380.0,79,8.2,84.9,99.2,3.2,86.9,97.4,81.4,88.5,2.2,92.8,history,82.70595779262005
Q3 2017,546579,525019,103.7,4.3,253419,357872,78.5,,,,98.3,0.25,128.0,369.0,3.4,10.3,2.9,2.9,89.8,90.7,51.7,41.6,10.9,94.4,104.2,95.5,96,98.3,68.3,87.8,9,-0.4,76.6,89.9,92.1,4.3,60.1,1.16,63.5,73.7,112.0,375.0,80.3,8.7,84.7,100,3.1,88.4,98.5,82.8,90.7,2.1,93.6,history,83.33211646392564
Q4 2017,548781,532657,104.6,4.4,260544,359250,79.2,,,,99.8,0.41,124.0,350.0,3.5,10.3,3.6,2.7,90.7,92.4,61.4,52.3,10.3,95.6,105.7,96.3,96.6,99.2,71.6,88.2,8.7,-0.4,77.6,90.6,93,4.2,63.5,1.2,64.6,76,102.0,359.0,81.6,8.3,84.4,101.2,3,90.7,103,84.3,91.8,2.1,94.1,history,84.54443583817964
Q1 2018,550080,535884,104.7,4.2,260376,365555,79.8,,,,98.4,0.5,122.0,356.0,3.4,9.7,2.7,2.5,91.5,93.5,67,56.6,17.2,96,110.8,96.3,96.6,98.6,71.5,88,8.6,-0.4,78.5,90.1,93.7,4,66.6,1.45,65.7,74.9,100.0,351.0,83.1,8,84,102.6,2.9,94.9,105.3,86.1,92.5,2.1,94.7,history,85.05663204408664
Q2 2018,553087,540904,105.7,4,264302,367724,80.3,,,,100.9,0.5,138.0,402.0,3.4,9.7,2.5,2.5,92.3,94.3,74.6,53.9,15.3,96.8,108.3,96.8,97,99.3,73.2,89.4,8.3,-0.4,79.3,91.5,94.5,3.9,65.9,1.74,66.5,78,117.0,346.0,84.5,7.8,84.4,102.5,2.8,100,110.2,87.3,93.1,2.1,95.4,history,85.8534169692968
Q3 2018,556581,546802,106.3,4.1,264468,371518,80.9,,,,101.0,0.66,147.0,459.0,3.3,8.8,2.9,2.5,93,95.2,75.3,64.8,12.9,95,103.8,96.9,97.4,98.5,73.4,89.7,8,-0.4,80.3,92.8,94.9,3.8,69.4,1.92,67.2,76.3,119.0,347.0,85.6,7.9,85.3,102.7,2.8,102.4,115.3,88.5,93.7,2.1,96,history,86.78955989537039
Q4 2018,558448,550790,106.9,4,262666,378159,81.1,,,,93.1,0.75,166.0,535.0,3.3,7.5,4.8,2.8,93.7,96,67.7,60.2,21.3,95.6,102.4,97.4,98,99.3,74,89.8,8,-0.4,81.1,93.2,95.1,3.8,65.6,2.22,67.7,76.2,133.0,409.0,86.8,7.7,85.9,102.3,2.8,96,116.2,89.7,93.2,2.2,96.9,history,87.42254361683216
Q1 2019,562033,557249,106.7,3.8,268930,375176,81.1,,,,94.1,0.75,169.0,580.0,3.3,7.2,4.7,3.0,94.6,95.6,63.1,48.8,16.6,97.2,103.7,98.1,98.7,100,75.3,89.2,7.8,-0.4,81.8,94,95.7,3.9,66.2,2.4,68.2,78.3,137.0,426.0,88.4,7.9,87.3,103.1,2.8,96.1,108.7,90.7,93.6,2.2,97.6,history,88.44772963912945
Q2 2019,562779,561476,107.8,3.9,267945,380094,81.1,,,,97.8,0.75,154.0,519.0,3.2,6.2,5.2,3.5,95.4,96.2,68.5,31.8,15.1,97,102.4,98.4,99.3,99.9,76.5,90.7,7.7,-0.4,82.9,96.2,96.4,3.6,70.2,2.4,68.7,81.6,124.0,402.0,89.6,8,88.3,102.5,2.8,102.8,113.2,91.7,94,2.3,98.5,history,89.11864794169185
Q3 2019,565362,568439,108.3,3.8,272367,380489,81.5,,,,97.9,0.75,147.0,506.0,3.3,6.0,6.1,3.8,95.8,95.3,61.9,27.7,16.0,94,98.2,98.6,99.3,100,77.9,90.5,7.5,-0.41,83.7,96.7,97.1,3.6,72.1,2.2,69.3,83.8,122.0,408.0,90.8,7.8,89,99,2.9,101,111.4,92.6,94.4,2.2,98.3,history,90.22382990070345
Q4 2019,565109,568119,108.5,3.8,270088,383577,81.6,,,,98.4,0.75,141.0,482.0,3.5,6.1,3.1,3.9,95.4,94.1,62.6,32.2,13.9,98.6,102.5,98.6,99.1,100.2,78.7,90.7,7.5,-0.5,84.8,97.2,97.6,3.6,75.2,1.65,70.1,82.2,112.0,395.0,91.9,8,89.8,98.6,3.1,99.3,104.2,92.6,94.6,2.3,96.9,history,90.17303882977372
Q1 2020,550835,561399,108.5,4,260496,379383,82.4,,,,92.6,0.61,158.0,569.0,3.7,3.7,1.1,4.8,92.6,91.4,50.6,24.9,30.4,98.5,101.9,95.1,93.5,98.8,80.9,90.2,7.4,-0.5,86.1,97.5,96.3,3.8,74.7,1.25,71.1,82.8,157.0,512.0,82.4,0.5,90.3,93.6,3.8,98.3,96.1,92.6,94.6,2.5,95.9,history,89.10642634024939
Q2 2020,443817,488065,108.5,4.1,194187,369814,82.1,,,,80.2,0.1,205.0,849.0,3.0,-3.8,-3.3,7.7,87,79.7,31.4,12.8,34.5,95.6,98.9,84,80.9,89.5,76.5,90.9,7.7,-0.5,87.1,98.9,87.7,13,71.4,0.06,71.8,83.2,209.0,717.0,92.1,2.6,90.9,92.5,5.7,99.9,90.9,70.3,82.6,2.9,89.2,history,77.4667001041217
Q3 2020,521910,545866,108.9,4.9,241171,387439,83.5,,,,82.0,0.1,153.0,640.0,2.9,-4.6,-6.1,7.6,93.9,86.7,42.7,21.3,25.9,93.7,102.9,94.7,95.7,97.5,86.4,90.5,8.5,-0.5,87.9,97.8,94.3,8.8,80.9,0.09,73.4,82.9,140.0,537.0,95.1,5.4,92.5,95,6.1,99.9,92,87.7,90.2,3.4,94.5,history,86.64099601290093
Q4 2020,529647,555051,109,5.2,243138,385928,86.5,,,,85.0,0.1,129.0,506.0,3.2,-7.5,-5.1,10.4,94.9,91.3,44.6,40.6,25.5,93.9,105.3,94.3,94.9,98.1,82.1,90.5,8.3,-0.5,89.5,96.4,95.4,6.8,86.7,0.09,76.7,86.5,120.0,453.0,97.4,5.7,93.4,95.6,6.4,99.2,98.7,93,93.6,3.2,94.6,history,88.09885847068085
Q1 2021,523440,555615,109.2,4.9,243271,396360,89.1,,,,92.1,0.1,110.0,411.0,3.9,-8.5,-5.0,12.2,95.9,93.4,60.7,54.4,23.2,97,109.8,94.2,95,96.6,89.6,91.2,8.2,-0.5,91,96.2,96.8,6.2,94.1,0.08,79.8,86.7,100.0,362.0,98,12.2,94.7,101.1,7,100.4,100.6,94.2,96.4,2.9,95.9,history,88.1883777331945
Q2 2021,552521,575389,110.7,4.7,256994,394759,90.2,,,,97.2,0.1,108.0,363.0,5.5,-1.9,-2.4,9.9,96.7,95.8,68.6,61.5,18.0,98.4,111.4,96.2,95.9,98.6,91.5,92.6,8.1,-0.5,93,96.2,98.4,5.9,101.9,0.07,84,89.3,92.0,326.0,99.5,10.4,96.4,99.4,5.9,102.4,101.8,84.1,95.6,2.7,97.4,history,91.32694847245855
Q3 2021,557700,584377,111.9,4.3,262184,397539,91.4,,,,98.9,0.1,105.0,360.0,5.5,-1.4,-2.0,9.9,98.4,97.7,73,120.3,18.2,99.1,109.7,98.4,99.2,99.3,95.1,93.1,7.5,-0.5,95.7,97.6,99,5.1,107.8,0.09,88,93.8,91.0,320.0,99.9,5.9,97.8,100.1,4.6,103.7,102.1,95.7,97.1,2.6,98.1,history,92.75354267719736
Q4 2021,564812,601673,114.4,4,276685,401793,94.9,,,,100.3,0.12,111.0,383.0,4.8,1.5,-1.8,7.0,99.7,100.2,79.4,297.5,19.2,100,107.3,98.8,99.7,99.3,93.5,94.7,7.1,-0.5,97.9,100,100.6,4.2,112.2,0.08,91.2,97.9,95.0,321.0,101.3,4.1,98,100.1,4.1,102.8,100.4,97.3,99.3,2.4,99.3,history,95.49880006094928
Q1 2022,569182,621064,115.9,3.7,286874,411369,97.8,,,,101.3,0.46,137.0,426.0,4.4,5.1,0.7,4.8,100.3,101.9,99.5,238,25.3,101.3,106.8,99.3,99.5,100,99.3,96.8,6.8,-0.5,100,100,100.2,3.8,108.7,0.12,95.8,99,118.0,356.0,102.7,5.4,99,97.1,4.5,100.4,102.4,98,100,2.2,100,history,98.5765802371943
Q2 2022,568044,630032,120.9,3.8,290652,419552,100,100,100,100,100.0,0.95,170.0,541.0,3.8,6.5,1.6,3.7,100,100,112.8,151,27.3,100,100,100,100,100,100,100,6.6,-0.5,100,100,100,3.6,100.0,0.77,100,100,140.0,434.0,100,1.5,100,100,5.1,100,100,100,100,2.1,100,year_zero,100.0
Q3 2022,565714,631378,125.6,4.4,285536,426133,99.6,98.5,98.5,98.5,78.8,2.83,295.0,1247.0,4.1,9.8,3.0,3.5,99.9,98.2,160,289.1,35.0,100,100,99.5,99.5,99.7,99.7,103.4,7.2,1.24,99.9,99.6,99.8,3.9,78.5,4.02,99.9,98.5,357.0,1065.0,100,0.9,96,98.6,5.5,95.9,94.1,101,98.7,2.8,100,projection,100.21363994209818
Q4 2022,559789,634442,132.7,5.2,288329,428631,96.4,94.7,94.7,94.7,68.3,5,336.0,1482.0,4.2,10.9,1.9,3.0,99.5,94.1,156.3,419.9,39.4,100,100,98.5,98.4,98.8,98.8,106.9,8.3,2.98,98.1,96.8,99,5,66.7,5.5,97.2,94.7,429.0,1275.0,100,1.1,91.9,96.8,5.9,91.8,88.3,101.5,97,3,99.7,projection,100.69996444625036
Q1 2023,544838,625972,135.6,6.6,280497,431687,92.9,87.2,87.2,87.2,60.7,6,378.0,1718.0,2.9,10.5,0.0,1.6,97.9,86.5,152.6,327.5,42.6,100,100,96,95.8,96.4,96.4,110.7,9.9,4.73,95.9,90.2,96.6,6.7,58.0,6.47,94.1,87.3,502.0,1485.0,100,1.2,87.9,95,6.4,87.6,82.4,100.4,93.9,4.6,97.9,projection,99.35558828757904
Q2 2023,539420,637249,141.4,7.6,292069,435727,89.6,77.6,77.6,77.6,55.0,6,419.0,1953.0,1.1,8.9,-0.5,0.2,97.5,82.9,148.9,327.5,45.0,100,100,95.1,94.8,95.6,95.6,114.4,11.3,4.69,93.8,81.3,95.9,7.9,51.3,6.43,91.2,77.7,574.0,1695.0,99.9,1.5,83.9,93.1,6.8,83.5,76.6,100.9,92.3,5.7,97.6,projection,101.14549737156209
Q3 2023,541082,659551,146.7,8.3,310416,446500,86.2,66.1,66.1,66.1,57.9,6,402.0,1864.0,-0.3,7.1,-1.3,-1.2,98,82.9,145.1,327.5,36.7,100,100,95.3,95.1,95.8,96.4,118,11.6,4.65,91.5,70.1,96.1,8.3,55.8,6.38,88.2,66.1,547.0,1622.0,100,1.7,81,93.2,7.2,79.8,70.7,102.4,93.6,6,98.3,projection,104.68531757117098
Q4 2023,542745,678837,151.3,8.5,327017,454592,82.8,55,55,55,61.9,6,385.0,1775.0,-1.0,6.3,-2.1,-2.1,98.6,83.3,141.4,327.5,31.8,100,100,95.5,95.4,96,97.1,120,11.8,4.61,89,59.1,96.4,8.6,59.2,6.31,85.2,55.1,520.0,1548.0,100.8,2.6,78.1,93.7,7.7,76,66.8,103.8,94.6,6.2,99.1,projection,107.74643192726718
Q1 2024,544411,688060,151.6,8.5,331524,460804,79.4,54.6,54.6,54.6,65.3,6,368.0,1686.0,-1.4,5.1,-2.7,-2.7,99.3,83.8,137.7,327.5,28.4,100,100,95.7,95.7,96.2,97.8,121.6,11.9,4.57,86.4,59,96.6,8.6,62.7,6.26,82.1,54.7,493.0,1475.0,101.9,3.4,75.2,94.6,7.6,72.3,62.8,105.3,95.7,6.2,99.9,projection,109.21032582472002
Q2 2024,546075,699767,153.8,8.3,339472,465826,76,55,55,55,68.7,5.79,350.0,1597.0,-1.1,4.9,-2.9,-2.9,100,84.3,134,327.5,25.7,100,100,95.9,95.9,96.4,98.5,122.5,11.9,4.41,83.7,59.7,96.9,8.5,66.2,6.06,78.9,55.6,466.0,1402.0,102.9,4.2,72.3,95.5,7.5,68.5,58.8,106.7,96.7,6.2,100.6,projection,111.06848541026488
Q3 2024,547739,709404,154.8,8.2,345231,470581,72.6,55.8,55.8,55.8,72.0,5.59,333.0,1508.0,-0.5,3.6,-2.8,-2.7,100.8,84.9,130.3,327.5,23.5,100,100,96.2,96.2,96.6,99.2,123.1,11.7,4.25,80.9,60.9,97.2,8.5,69.6,5.85,75.7,57,439.0,1328.0,104,5,69.4,96.1,7.3,64.8,54.8,108.2,97.5,6.1,101.4,projection,112.59809025573304
Q4 2024,549407,719536,156.5,8,352040,475205,69.2,56.7,56.7,56.7,75.0,5.38,316.0,1419.0,0.1,3.4,-2.4,-2.4,101.5,85.4,126.6,327.5,21.7,100,100,96.4,96.5,96.8,99.9,123.7,11.5,4.09,78.1,62.1,97.4,8.3,73.1,5.64,72.5,58.4,412.0,1255.0,105.2,5.2,66.6,96.7,7.1,61,50.9,109.7,98.2,5.9,102.2,projection,114.20626253904564
Q1 2025,551075,726233,156.3,7.9,355963,478874,69,57.6,57.6,57.6,77.7,5.18,299.0,1330.0,0.9,4.7,-1.7,-1.9,102.2,86,122.8,327.5,20.1,100,100,96.6,96.8,97,100.5,124.3,11.2,3.93,78,63.3,97.7,8,76.5,5.44,72.6,60,385.0,1182.0,106.3,5.4,63.7,97.2,6.9,57.2,46.9,111.3,98.8,5.6,103,projection,115.2692244203469
Q2 2025,552742,734655,158,7.7,361080,483400,69.7,58.7,58.7,58.7,80.2,4.97,282.0,1241.0,1.5,5.7,-0.8,-1.4,102.9,86.5,119.1,327.5,18.6,100,100,96.9,97,97.3,101.2,124.9,10.9,3.77,78.7,64.7,98,7.7,80.0,5.23,73.6,61.7,358.0,1108.0,107.5,5.7,65.2,97.7,6.7,58.5,48.9,112.8,99.4,5.4,103.7,projection,116.60598191837875
Q3 2025,554410,742499,158.8,7.6,364455,488485,70.9,59.9,59.9,59.9,82.5,4.77,265.0,1152.0,2.2,6.6,0.0,-0.9,103.7,87.1,115.4,327.5,18.6,100,100,97.1,97.3,97.5,101.8,125.5,10.6,3.6,80,66.2,98.3,7.5,83.5,5.03,75.1,63.5,331.0,1035.0,108.7,5.9,66.8,98.2,6.5,59.7,50.9,114.4,100.1,5.1,104.5,projection,117.85099804454377
Q4 2025,556079,749405,160.2,7.4,368219,492390,72.2,61.1,61.1,61.1,84.7,4.56,248.0,1063.0,2.8,7.0,0.6,-0.5,104.4,87.6,111.7,327.5,18.6,100,100,97.4,97.6,97.7,102.4,126.1,10.3,3.44,81.4,67.7,98.6,7.2,86.9,4.82,76.7,65.4,304.0,962.0,109.9,6,68.4,98.8,6.4,61,52.9,116,100.7,4.9,105.3,projection,118.94713284404601
Q1 2026,557749,756215,160,7.3,371191,496641,73.4,62.3,62.3,62.3,86.9,4.36,230.0,974.0,3.4,7.2,1.2,0.0,105.2,88.2,108.6,327.5,18.6,100,100,97.6,97.9,97.9,103.1,126.7,10,3.28,82.7,69.3,98.9,6.9,90.4,4.61,78.3,67.4,277.0,888.0,111.1,6.1,70,99.3,6.2,62.2,54.9,117.7,101.4,4.6,106.1,projection,120.02803032226934
Q2 2026,559419,763887,161.6,7.1,375473,500670,74.7,63.7,63.7,63.7,89.0,4.15,213.0,885.0,3.8,7.3,1.8,0.2,105.9,88.7,105.5,327.5,18.6,100,100,97.9,98.2,98.1,103.7,127.2,9.7,3.12,83.8,71,99.2,6.6,93.8,4.41,79.9,69.5,250.0,815.0,112.3,6.3,71.6,99.8,6,63.4,56.9,119.3,102,4.4,107,projection,121.24574624780963
Q3 2026,561090,771852,162.4,7,379113,505523,75.9,65,65,65,91.1,3.95,196.0,796.0,3.9,7.1,2.3,0.3,106.7,89.3,102.4,327.5,18.6,100,100,98.1,98.5,98.3,104.4,127.7,9.4,2.96,84.9,72.6,99.5,6.3,97.3,4.2,81.4,71.6,223.0,742.0,113.5,6.4,73.2,100.3,5.8,64.7,58.9,121,102.7,4.2,107.8,projection,122.50996774766996
Q4 2026,562762,780279,163.6,6.8,383556,510391,77.1,66.3,66.3,66.3,93.3,3.74,179.0,707.0,4.2,6.8,2.8,0.5,107.4,89.8,99.3,327.5,18.6,100,100,98.3,98.8,98.6,105,128.2,9.1,2.8,86,74.4,99.8,6,100.8,4,83,73.9,196.0,668.0,114.8,6.5,74.7,100.8,5.7,65.9,60.9,122.7,103.3,3.9,108.6,projection,123.84751885618508
Q1 2027,564434,787319,163.3,6.6,387094,514802,78.4,67.7,67.7,67.7,95.5,3.54,162.0,618.0,4.4,6.5,3.3,0.8,108.2,90.4,96.2,327.5,18.6,100,100,98.6,99,98.8,105.7,128.7,8.8,2.63,87,76.2,100.1,5.8,104.2,3.79,84.6,76.2,169.0,595.0,116,6.7,76.3,101.3,5.5,67.2,62.9,124.4,104,3.7,109.4,projection,124.96492241663914
Q2 2027,566107,795025,164.8,6.5,391289,519515,79.6,69.2,69.2,69.2,97.8,3.33,145.0,529.0,4.5,6.1,3.6,1.0,108.9,91,93.1,327.5,18.6,100,100,98.8,99.3,99,106.3,129.2,8.5,2.47,88.1,78.1,100.4,5.5,107.7,3.58,86.2,78.6,142.0,522.0,117.3,6.8,77.9,101.9,5.3,68.4,64.9,126.1,104.7,3.5,110.2,projection,126.18803489346573
