quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate Retail Deposit volume,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,UK natural gas price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q2 2004,448330,330333,76.5,4.8,158064,231120,50.6,,,,54.2,4.22,84.0,398.0,15.3,13.7,5.4,8.2,55.5,51.4,35.4,20.7,16.2,127.1,143.9,82.4,82.5,80.2,40.6,71.6,9.3,1,59.4,68.5,72.8,5.6,27.4,1.01,48.9,45.9,95.0,410.0,24.6,11.8,,62.1,6.9,20.1,19.6,31.3,44.4,3.6,60.7,history,52.43114635447088
Q3 2004,449436,332227,76.6,4.7,156850,235363,52.4,,,,53.6,4.65,84.0,403.0,14.6,13.9,8.9,8.9,56.1,52.5,41.6,23.6,15.4,126.1,144.8,82.6,82.7,80,40.2,71.6,9.3,1,60.5,68.5,73.5,5.4,26.9,1.44,50.4,48.8,96.0,399.0,25.3,10.3,,62.8,6.6,20.3,20,32,44.7,3,61.5,history,52.73176600553623
Q4 2004,451003,337021,77.1,4.7,158660,237387,53.5,,,,57.1,4.75,77.0,340.0,13.1,14.0,7.8,8.3,56.7,53.9,44.1,28.5,13.6,121.9,148.7,82.9,83.4,80,41.6,72.1,9.4,1,61.7,69.1,74.2,5.4,28.4,1.95,51.9,50,88.0,330.0,26,10.6,,64,6.7,21.7,22.6,32.6,45.8,3.2,62.1,history,53.49267973690225
Q1 2005,453744,340253,77.3,4.7,158749,239796,54,,,,60.1,4.75,70.0,285.0,11.7,13.7,11.2,8.5,57.4,54.3,47.8,37.8,12.8,122.3,150.6,83.1,83.6,80,42.2,72.1,9.2,1,62.7,69.6,75,5.3,29.0,2.48,53.9,50.2,84.0,305.0,26.7,11.3,,64.7,6.2,23.4,24.8,33.2,46.1,3.2,62.8,history,54.005669553292535
Q2 2005,458115,349019,78,4.8,166561,243743,54.7,,,,60.2,4.75,83.0,378.0,10.8,12.6,15.9,8.8,58,55.6,51.6,30.3,13.4,125,147.8,83.6,83.8,80.4,43.2,73,9.3,1,63.4,70.5,75.4,5.1,28.8,2.94,55.8,51.8,100.0,396.0,27.4,12,,66.7,5.8,24.6,27.2,34.3,47.3,3.3,63.5,history,55.39702745257383
Q3 2005,462156,351253,78.4,4.7,165783,245588,55.4,,,,64.7,4.59,74.0,374.0,10.1,11.1,16.2,8.1,58.8,56.6,61.6,29.3,12.3,124.1,142.2,84.2,84.2,81.1,42.4,73.3,9.1,1,64.8,71.8,76,5,29.8,3.46,57.6,53.7,89.0,350.0,28.2,12,,68,5.6,24.3,27.7,34.7,48.4,3.3,64.3,history,55.75161261650202
Q4 2005,467203,359131,78.8,5.1,172965,248917,56.1,,,,66.5,4.5,75.0,377.0,10.1,9.6,17.9,7.9,59.6,58.1,56.9,64.5,12.7,124.7,139.2,84.8,84.8,81.5,44,73.8,9.1,1.07,65.7,73.5,76.4,5,30.0,3.98,59.2,55.6,94.0,362.0,29,10.3,,68.8,5.3,23.5,27.3,35.6,50,2.7,65.2,history,57.00202529395332
Q1 2006,469679,361989,78.7,5.2,168976,250817,57.4,,,,72.0,4.5,76.0,351.0,10.5,7.8,17.0,8.1,60.4,59.6,62,68.8,12.0,123.5,139.5,85.5,85.5,82.2,44.9,73.8,8.9,1.32,67.1,74.8,77.5,4.7,31.3,4.46,60.4,57.3,89.0,338.0,29.9,12.1,,70.3,5.1,23.8,26.4,36.5,50.9,2.4,66,history,57.45565304619448
Q2 2006,471304,367764,79.8,5.5,174031,252629,58.6,,,,72.5,4.5,76.0,296.0,10.7,6.7,16.0,7.6,61.1,60.8,69.8,34.6,14.5,123.3,145.6,86.5,86.4,83.7,45,74.8,8.6,1.55,68.2,76.4,77.6,4.6,31.2,4.91,60.7,59.7,91.0,312.0,30.7,11,,71,4.9,24.3,28.1,37,51.4,2.7,66.8,history,58.372273154379464
Q3 2006,472400,370933,80.3,5.5,174286,257487,59.8,,,,72.6,4.66,81.0,281.0,11.0,5.9,18.1,8.2,61.8,61.7,70.2,33.8,13.6,124.8,149.3,87,86.4,84.3,45.3,74.9,8.3,1.9,69.1,78.8,77.8,4.6,31.4,5.25,60.3,61.9,97.0,341.0,31.8,10.9,,72.3,4.8,24.2,29,38.2,52.4,2.8,67.6,history,58.87526347868045
Q4 2006,475414,376036,80.9,5.5,174229,262226,61.6,,,,76.8,4.89,80.0,235.0,11.4,5.6,18.2,8.1,62.8,62.7,59.6,30.1,11.0,126,152.6,88,87,85.6,45.7,75.1,8.1,2.27,70.4,80,78.4,4.4,33.8,5.25,60.6,62.6,93.0,313.0,33,14.3,,73.4,4.5,24.3,28.8,38.9,54.5,2.8,68.6,history,59.68522233791299
Q1 2007,479140,381202,81,5.5,175843,267605,63.5,,,,78.9,5.22,78.0,202.0,11.5,4.8,18.3,8.1,63.6,64.1,58.1,22.4,12.5,126.5,155.7,88.5,87.7,85.6,48.2,75.2,7.9,2.55,70.6,81.8,78.6,4.5,34.7,5.26,60.8,64.7,90.0,275.0,34.2,19.5,,74.4,4.4,25.2,29.9,40,55.2,2.7,69.5,history,60.50518068923483
Q2 2007,481362,385685,81.8,5.4,178735,271519,64.9,,,,82.4,5.4,79.0,208.0,11.2,4.5,17.7,8.3,64.5,65.2,68.7,20.3,13.7,124.9,158.2,89.2,88.3,86.4,47.7,76.2,7.6,2.8,71.6,83.4,79.1,4.5,36.5,5.25,59.9,67.1,94.0,263.0,35.4,15.3,,75.6,4.3,26.1,31.5,41,56.5,2.3,70.4,history,61.21673184854103
